Type	Windows	Ctrl	Shift	Alt	Key	Description	URL
Win10	-	-	-	-	F2	ファイルやフォルダの名前を変更
Win10	-	-	x	-	DEL	ゴミ箱に入れずに削除	
Win10	-	-	x	-	(Click)	連続したファイアル選択	
Win10	-	-	x	-	矢印	複数項目を選択	
Win10	-	-	x	-	F10	右クリックメニューを表示
#
#Type	Windows	Ctrl	Shift	Alt	Key	Description	URL
MSIME	-	x	-	-	U	ひらがな
MSIME	-	x	-	-	I	全角カタカナ
MSIME	-	x	-	-	O	半角カタカナ
MSIME	-	x	-	-	P	全角英数
MSIME	-	x	-	-	T	半角英数
MSIME	-	-	-	-	SPACE	漢字に変換
MSIME	-	-	-	-	HOME	カーソルを文頭に移動
MSIME	-	x	x	-	F10	IMEのプライベートモードを ON/OFF
MSIME	x	-	-	-	/	再変換
#
#Type	Windows	Ctrl	Shift	Alt	Key	Description	URL
Win10	x	-	-	-	(none)	スタートメニュー
Win10	x	-	-	-	A	アクションセンターを開く
Win10	x	-	-	-	B	
Win10	x	-	-	-	C	
Win10	x	-	-	-	D	デスクトップを表示（アプリを最小化）
Win10	x	-	-	-	E	
Win10	x	-	-	-	F	
Win10	x	-	-	-	G	
Win10	x	-	-	-	I	設定メニューを開く
Win10	x	-	-	-	,	デスクトップを表示（アプリを透明化）
Win10	x	-	-	-	K	
Win10	x	-	-	-	L	
Win10	x	-	-	-	M	
Win10	x	-	-	-	P	
Win10	x	-	-	-	Q	
Win10	x	-	-	-	R	
Win10	x	-	-	-	S	検索を開く
Win10	x	-	-	-	T	
Win10	x	-	-	-	U	
Win10	x	-	-	-	V	クリップボードの履歴を表示
Win10	x	-	-	-	W	
Win10	x	x	-	-	C	
Win10	x	x	-	-	D	
Win10	x	x	-	-	→	
Win10	x	x	-	-	←	
Win10	x	x	-	-	F4	
Win10	x	-	x	-	M	
Win10	x	-	x	-	S	
Win10	x	-	x	-	<	
Win10	x	-	x	-	>	
Win10	x	-	-	-	X	クイックリンクメニューを表示
Win10	x	-	-	-	↑	（複数回押下で最終的に）ウィンドウを最大化
Win10	x	-	-	-	↓	（複数回押下で最終的に）ウィンドウを最小化
Win10	x	-	-	-	HOME	最前面のウィンドウ以外を最小化
Win10	x	-	-	-	←	ウィンドウを左半分に配置
Win10	x	-	-	-	→	ウィンドウを右半分に配置
Win10	x	-	x	-	↑	ウィンドウを上下いっぱいに配置
Win10	x	-	-	-	PAUSE	コントロールパネルを開く
Win10	x	-	-	x	D	日付と時刻を表示
Win10	x	-	-	-	数字	タスクバーのアプリを起動
Win10	x	-	-	x	数字	タスクバーのアプリの右クリックメニューを表示
Win10	x	-	-	-	+	拡大鏡をオン，複数回押下で拡大
Win10	x	-	-	-	-	拡大鏡を縮小
Win10	x	-	-	-	ESC	拡大鏡をオフ
Win10	x	-	-	-	:	
Win10	x	-	-	-	:	
Win10	x	-	-	-	:	
Win10	x	-	-	-	:	
#
#Type	Windows	Ctrl	Shift	Alt	Key	Description	URL
Win10 	-	x	-	-	A	すべて選択
Win10 	-	x	-	-	C	選択した項目をコピー
Win10 	-	x	-	-	N	新規作成
Win10 	-	x	-	-	O	ファイルを開く
Win10 	-	x	-	-	P	印刷画面を表示
Win10 	-	x	-	-	S	ファイルを保存
Win10 	-	x	-	-	V	切り取り，コピーした項目を貼り付け
Win10 	-	x	-	-	W	表示中のファイルやアプリを閉じる
Win10 	-	x	-	-	X	選択した項目を切り取る
Win10 	-	x	-	-	Y	元に戻した操作をやり直す
Win10 	-	x	-	-	Z	操作を元に戻す
Win10	-	x	x	-	ESC	タスクマネージャの起動
Win10	-	x	-	-	(Click)	
Win10	-	x	-	-	(Drag)
Win10	-	x	-	-	(MouseWheel)
#
#Type	Windows	Ctrl	Shift	Alt	Key	Description	URL
Win10	x	-	-	-	PRTSCRN	スクリーンショット
Win10	x	-	x	-	S	スクリーンショット
Win10	-	-	-	x	PRTSCRN	スクリーンショット（アクティブなウィンドウのみ）
#
#Type	Windows	Ctrl	Shift	Alt	Key	Description	URL
Win10	-	-	-	x	SPACE	コマンドランチャー
Win10	-	-	-	x	F4	アクティブなアプリを終了
Win10	-	-	-	x	TAB	別のウィンドウに切り替える	
#
Win10	-	x	-	x	DEL	ロック画面の表示
#
#Type	Windows	Ctrl	Shift	Alt	Key	Description	URL
Win10	-	-	-	-	:	
Win10	-	-	-	-	:	
Win10	-	-	-	-	:	
Win10	-	-	-	-	:	
Win10	-	-	-	-	:	
Win10	-	-	-	-	:	
Win10	-	-	-	-	:	
Win10	-	-	-	-	:	
Win10	-	-	-	-	:	
#Type	Windows	Ctrl	Shift	Alt	Key	Description	URL
